,1,2,3,4,5,6,7,8,9,10,11,12
A,6_1,6_1,6_2,6_2,6_3,6_3,6_4,6_4,6_5,6_5,6_6,6_6
B,6_7,6_7,6_8,6_8,6_9,6_9,6_10,6_10,6_11,6_11,6_12,6_12
C,6_13,6_13,6_14,6_14,6_15,6_15,6_16,6_16,6_17,6_17,6_18,6_18
D,6_19,6_19,6_20,6_20,6_21,6_21,6_22,6_22,6_23,6_23,6_24,6_24
E,6_25,6_25,16_1,16_1,16_2,16_2,16_3,16_3,16_4,16_4,16_5,16_5
F,16_6,16_6,16_7,16_7,16_8,16_8,16_9,16_9,16_10,16_10,16_11,16_11
G,16_12,16_12,16_13,16_13,250,250,125,125,62.5,62.5,31.25,31.25
H,15.6,15.6,7.8,7.8,3.9,3.9,1.9,1.9,0,0,,
