level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,Tail,id,name,hep/hhep,SAA/IS_SAA,tag,hep avg,hep std,hep CV,SAA avg,SAA std,SAA CV
6-1_0_A1_1,0,1523.358042484471,22223.270301882287,1190.0,1.118153140002145,,469.0150065291402,1237.94709542238,0.1891290527654164,3.247994245979044,,0.0,1,A01,6_1,0.09498171901326444,0.11485446265581013,6_1,0.09510262612737572,0.0001292551418838368,0.13591122258886826,0.057427231327905066,0.06139229265715197,106.90449676496976
6-1_0_A1_1,1,1538.228828701364,22329.7113024187,4613.0,11.75876866652598,,620.5611458365622,10778.3978680236,0.7331532104259377,2.478770769039557,,0.0,1,A01,,,,,,,,,,
6-1_0_A1_1,2,2792.22569676375,29945.189644944025,1443.0,1.235179847669326,,458.6949254185827,2856.786523108069,0.22933884297520662,6.087326329620281,,0.0,1,A01,,,,,,,,,,
6-1_0_A1_1,3,2819.73611168497,30090.106487953046,6292.0,14.25034056106738,,547.2263769472079,30077.22488902429,1.0,5.152778138026406,,0.0,1,A01,,,,,,,,,,
6-1_0_A2_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2,A02,6_1,0.09522353324148698,0.0,,,,,,,
6-1_0_A2_1,1,1537.784710772221,22326.539977157692,4065.0,12.4340994579255,,608.864875461155,10255.3021857567,0.5511117136659436,2.5256584387586836,,0.0,2,A02,,,,,,,,,,
6-1_0_A2_1,2,2790.82545871803,29937.794284605137,1448.0,1.482452861819879,,457.8434274796608,3696.324100008544,0.1963123644251627,6.095589215031397,,0.0,2,A02,,,,,,,,,,
6-1_0_A2_1,3,2819.758797464597,30090.22569354346,7376.0,18.15620236482011,,512.786014950174,38817.33825854437,1.0,5.498899570688536,,0.0,2,A02,,,,,,,,,,
6-2_0_A3_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,A03,6_2,0.0,0.0,6_2,0.0,0.0,,0.0,0.0,
6-2_0_A3_1,1,1538.498468781482,22331.636503211656,3764.0,12.53826223050416,,656.5728365491885,8765.36169747639,0.5281324540479865,2.343225889251698,,0.0,3,A03,,,,,,,,,,
6-2_0_A3_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,A03,,,,,,,,,,
6-2_0_A3_1,3,2820.153635342044,30092.30034633021,7127.0,22.28762793753111,,571.9148086765622,35015.41481913001,1.0,4.93107293701314,,0.0,3,A03,,,,,,,,,,
6-2_0_A4_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4,A04,6_2,0.0,0.0,,,,,,,
6-2_0_A4_1,1,1538.473209427739,22331.456161413473,3559.0,11.82331332114029,,625.194050986254,9244.990928506204,0.4635321698358948,2.460793104158256,,0.0,4,A04,,,,,,,,,,
6-2_0_A4_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4,A04,,,,,,,,,,
6-2_0_A4_1,3,2820.08671648393,30091.948735425085,7678.0,21.51168365105692,,542.6957570488046,38855.98999897387,1.0,5.196441431235144,,0.0,4,A04,,,,,,,,,,
6-3_0_A5_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5,A05,6_3,0.35110390546032455,0.0,6_3,0.3452348842801033,0.006274247557741842,1.8173851610694374,0.0,0.0,
6-3_0_A5_1,1,1538.018159486777,22328.207028560297,4881.0,18.04185421805999,,596.7744626010128,13278.95859539385,0.5087554721701063,2.5772184566735628,,0.0,5,A05,,,,,,,,,,
6-3_0_A5_1,2,2792.03408078511,29944.177735772842,3922.0,8.720866256698125,,512.9690873277552,18903.80227092864,0.4087971648947259,5.442889541999193,,0.0,5,A05,,,,,,,,,,
6-3_0_A5_1,3,2820.131161970049,30092.18226524925,9594.0,25.08147493253872,,515.5288319984165,53841.04812546669,1.0,5.47036554878605,,0.0,5,A05,,,,,,,,,,
6-3_0_A6_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6,A06,6_3,0.339365863099882,0.0,,,,,,,
6-3_0_A6_1,1,1538.576691945521,22332.194976186518,2813.0,15.02874303028234,,651.6117021352808,6211.155008858336,0.6983614697120158,2.3611864042707107,,0.0,6,A06,,,,,,,,,,
6-3_0_A6_1,2,2791.884152017886,29943.385948994248,1777.0,6.635901473432687,,543.466251156418,6827.131657653516,0.44116186693147963,5.137180360467937,,0.0,6,A06,,,,,,,,,,
6-3_0_A6_1,3,2820.14558032793,30092.258023195907,4028.0,19.72371718093317,,563.8923385065509,20117.31997818578,1.0,5.001212798522829,,0.0,6,A06,,,,,,,,,,
6-4_0_A7_1,0,1523.525774125015,22224.473798035913,673.0,1.082179833745365,,385.11979871633,290.9861621630644,0.28218029350104823,3.9559788388007737,,0.0,7,A07,6_4,0.0,0.07484495559388837,6_4,0.0,0.0,,0.03742247779694419,0.040006311565805724,106.90449676496976
6-4_0_A7_1,1,1538.599545605647,22332.358136804636,1819.0,9.848531172391024,,657.8166645249621,3887.852692998665,0.7626834381551363,2.3389488722009446,,0.0,7,A07,,,,,,,,,,
6-4_0_A7_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,7,A07,,,,,,,,,,
6-4_0_A7_1,3,2819.974445910735,30091.358824079303,2385.0,13.55038772558593,,598.490688228836,9814.415064612997,1.0,4.711810060497555,,0.0,7,A07,,,,,,,,,,
6-4_0_A8_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8,A08,6_4,0.0,0.0,,,,,,,
6-4_0_A8_1,1,1538.61946837419,22332.500371719638,1398.0,8.42032938144094,,974.8415969042965,2251.060832572032,0.8391356542617047,1.5783276721676882,,0.0,8,A08,,,,,,,,,,
6-4_0_A8_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8,A08,,,,,,,,,,
6-4_0_A8_1,3,2820.158742831048,30092.327182371002,1666.0,10.73950169084635,,592.4184741914974,6053.951841966689,1.0,4.760416606993658,,0.0,8,A08,,,,,,,,,,
6-5_0_A9_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9,A09,6_5,0.0,0.0,6_5,0.0,0.0,,0.0,0.0,
6-5_0_A9_1,1,1538.58712789599,22332.26948239648,1834.0,10.07247726651932,,919.7454729534466,3642.532031076728,0.8646864686468647,1.6728401205991763,,0.0,9,A09,,,,,,,,,,
6-5_0_A9_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9,A09,,,,,,,,,,
6-5_0_A9_1,3,2820.054100900892,30091.777362248802,2121.0,13.43909633278306,,577.7033425816766,8468.738027385878,1.0,4.881491750244095,,0.0,9,A09,,,,,,,,,,
6-5_0_A10_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10,A10,6_5,0.0,0.0,,,,,,,
6-5_0_A10_1,1,1538.368535133784,22330.70881240193,2221.0,10.64890030126735,,868.0927761787626,4462.49214705179,0.7582792762034825,1.772124567037054,,0.0,10,A10,,,,,,,,,,
6-5_0_A10_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10,A10,,,,,,,,,,
6-5_0_A10_1,3,2819.833912003026,30090.62038988326,2929.0,16.88986069694634,,557.7789467649528,13011.73029984245,1.0,5.0554685298857285,,0.0,10,A10,,,,,,,,,,
6-6_0_A11_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,11,A11,6_6,0.21180197109392634,0.0,6_6,0.20793344190536564,0.00413563166123719,1.9889208889830199,0.0,0.0,
6-6_0_A11_1,1,1538.217781767745,22329.632424881576,4224.0,18.28520517416868,,867.7064579868598,9534.914412476166,0.9041095890410958,1.7727398103461378,,0.0,11,A11,,,,,,,,,,
