,0,1
0,3255.618,3255.31898883363
1,1628.0156,1628.40300169031
2,1739.9721,1740.36650266688
3,1896.0793,1896.03813352625
4,1498.8206,1499.14689817469
5,2209.1706,2209.06619625172
6,904.4866,904.333828354283
7,1060.6071,1060.67307874004
8,1530.8462,1530.86633663258
9,2127.1366,2127.01132564625
10,1277.611,1277.71513547938
11,904.4866,904.545030498906
12,2184.2132,2184.09779901625
13,2365.235,2365.15994625172
14,1804.9565,1804.87497310719
15,1960.9946,1960.97732906422
16,2326.2954,2326.15712518813
17,2560.3139,2560.18521480641
